# time 	 MSD 
0	0
1	0.763834
2	1.42908
3	2.21987
4	2.80685
5	3.36582
6	4.10532
7	4.52933
8	5.90735
9	6.46895
10	6.75779
11	7.37879
12	8.75637
13	9.26898
14	10.1077
15	11.7184
16	11.2423
17	13.31
18	14.7948
19	14.7113
20	16.18
21	17.4955
22	19.6981
23	21.4232
24	22.8983
25	24.3941
26	25.2924
27	24.9723
28	25.6612
29	26.1008
30	26.7352
31	26.3441
32	27.4028
33	28.0665
34	26.2176
35	26.7525
36	27.4869
37	28.1278
38	28.7551
39	29.3684
40	30.4741
41	29.1963
42	31.0504
43	30.7459
44	30.4902
45	30.9845
46	31.3753
47	30.0689
48	31.0929
49	31.4623
50	32.2042
51	30.6611
52	31.7394
53	32.0858
54	32.0936
55	32.3303
56	33.6458
57	32.7159
58	35.0635
59	34.6189
60	36.8061
61	37.6506
62	41.4172
63	41.9842
64	43.304
65	44.6436
66	48.1422
67	50.7873
68	53.4246
69	53.0549
70	53.682
71	58.5906
72	59.6856
73	60.3545
74	61.1531
75	64.0531
76	66.7719
77	67.7155
78	66.6072
79	68.7506
80	70.1497
81	71.7117
82	69.2544
83	68.0013
84	70.296
85	69.5397
86	72.0611
87	71.4628
88	73.8179
89	72.1795
90	73.15
91	74.6291
92	73.5364
93	73.4997
94	73.3617
95	74.3578
96	76.5258
97	77.4193
98	75.7181
99	74.549
100	77.0384
101	79.8255
102	81.2719
103	81.1373
104	82.5933
105	81.9009
106	84.2594
107	82.7222
108	84.7611
109	85.4867
110	85.8834
111	89.4146
112	87.9437
113	91.2281
114	92.0943
115	94.1273
116	90.8059
117	88.4765
118	88.9937
119	89.1219
120	87.1776
121	84.7089
122	85.7187
123	88.5476
124	88.5111
125	85.1323
126	86.5991
127	88.5673
128	88.1361
129	88.1592
130	86.4174
131	86.3768
132	85.425
133	88.9707
134	89.0176
135	88.7226
136	87.7788
137	87.4608
138	87.6269
139	88.569
140	89.3755
141	93.2788
142	93.813
143	92.5452
144	90.5234
145	92.5313
146	92.1251
147	93.031
148	95.8104
149	97.8629
150	100.672
151	101.058
152	102.284
153	101.788
154	101.808
155	105.362
156	105.556
157	107.21
158	111.432
159	109.851
160	109.764
161	111.128
162	113.764
163	113.683
164	117.245
165	116.995
166	116.82
167	118.16
168	123.565
169	122.798
170	123.139
171	124.469
172	122.765
173	120.695
174	124.575
175	125.994
176	127.199
177	126.839
178	133.318
179	135.321
180	135.804
181	134.624
182	130.25
183	131.629
184	134.593
185	137.175
186	140.879
187	148.914
188	152.011
189	154.626
190	153.913
191	153.772
192	161.052
193	158.231
194	154.792
195	152.62
196	155.475
197	161.778
198	162.817
199	168.686
200	170.024
201	168.356
202	166.637
203	164.809
204	169.214
205	169.111
206	166.775
207	169.671
208	169.6
209	169.901
210	172.777
211	175.231
212	176.758
213	176.781
214	174.776
215	175.744
216	176.693
217	177.302
218	174.972
219	178.576
220	184.475
221	184.248
222	190.692
223	190.115
224	192.045
225	193.456
226	190.034
227	189.276
228	187.515
229	191.464
230	187.232
231	190.821
232	197.865
233	196.973
234	196.394
235	194.9
236	196.239
237	198.635
238	196.291
239	197.289
240	198.848
241	200.148
242	201.149
243	198.048
244	198
245	198.814
246	203.852
247	206.298
248	209.211
249	211.323
250	214.027
251	216.359
252	221.143
253	221.801
254	222.962
255	225.781
256	224.63
257	222.132
258	222.229
259	227.178
260	228.237
261	230.662
262	232.134
263	231.413
264	232.678
265	233.301
266	233.801
267	238.687
268	239.874
269	237.69
270	238.726
271	241.025
272	241.483
273	248.98
274	245.701
275	245.867
276	247.652
277	249.27
278	251.48
279	253.6
280	255.529
281	255.975
282	248.626
283	251.088
284	254.209
285	256.524
286	257.943
287	259.636
288	256.642
289	260.081
290	257.694
291	258.49
292	259.72
293	261.313
294	260.993
295	260.413
296	254.784
297	253.726
298	252.728
299	249.423
300	253.223
301	253.372
302	253.366
303	258.974
304	258.939
305	261.64
306	261.774
307	265.399
308	268.718
309	271.608
310	275.476
311	274.266
312	271.963
313	269.388
314	267.817
315	268.645
316	268.899
317	268.765
318	267.853
319	265.487
320	264.975
321	273.812
322	277.51
323	274.628
324	275.49
