# time 	 <x**4> 	 <x**2> 
0	0	0
1	2.09314	0.763834
2	7.57096	1.42908
3	20.6626	2.21987
4	29.1506	2.80685
5	45.408	3.36582
6	71.4661	4.10532
7	88.2535	4.52933
8	142.917	5.90735
9	154.397	6.46895
10	155.774	6.75779
11	185.438	7.37879
12	267.66	8.75637
13	311.235	9.26898
14	339.364	10.1077
15	475.05	11.7184
16	435.255	11.2423
17	583.395	13.31
18	728.555	14.7948
19	792.04	14.7113
20	1039.05	16.18
21	1186.6	17.4955
22	1477.82	19.6981
23	1717.16	21.4232
24	1839.08	22.8983
25	2148.14	24.3941
26	2050.97	25.2924
27	2161.83	24.9723
28	2201.92	25.6612
29	2302.07	26.1008
30	2579.43	26.7352
31	2477.63	26.3441
32	2550.29	27.4028
33	2680.15	28.0665
34	2180.42	26.2176
35	2169.98	26.7525
36	2516.83	27.4869
37	2575.22	28.1278
38	2846.22	28.7551
39	2866.81	29.3684
40	3181.63	30.4741
41	2805.15	29.1963
42	3126.8	31.0504
43	2766.13	30.7459
44	2680.18	30.4902
45	2874.29	30.9845
46	2705.38	31.3753
47	2661.86	30.0689
48	2814.57	31.0929
49	2834.94	31.4623
50	2907.9	32.2042
51	2750.3	30.6611
52	2967.22	31.7394
53	3191.46	32.0858
54	3333.86	32.0936
55	3431.36	32.3303
56	3784.65	33.6458
57	3628.77	32.7159
58	4426.59	35.0635
59	4495.63	34.6189
60	5635.69	36.8061
61	5769.76	37.6506
62	6708.24	41.4172
63	6638.07	41.9842
64	7037.76	43.304
65	7151.63	44.6436
66	8352.33	48.1422
67	9022.37	50.7873
68	9651.35	53.4246
69	9694.4	53.0549
70	10193	53.682
71	12474.7	58.5906
72	12999.2	59.6856
73	13384	60.3545
74	14401.8	61.1531
75	15530	64.0531
76	16438.4	66.7719
77	16307.7	67.7155
78	15798.6	66.6072
79	16947	68.7506
80	18503.7	70.1497
81	18661.7	71.7117
82	17241.9	69.2544
83	16057.9	68.0013
84	17978.9	70.296
85	17186.4	69.5397
86	18594.7	72.0611
87	18418.3	71.4628
88	19422.2	73.8179
89	18408.9	72.1795
90	18219.4	73.15
91	17589.1	74.6291
92	17173.7	73.5364
93	17682.2	73.4997
94	18164.8	73.3617
95	19115.1	74.3578
96	19753.6	76.5258
97	20006.1	77.4193
98	19688.8	75.7181
99	18611.8	74.549
100	19060	77.0384
101	20448.4	79.8255
102	20923.4	81.2719
103	20732.3	81.1373
104	20880.7	82.5933
105	21988.4	81.9009
106	22008.9	84.2594
107	21006	82.7222
108	21747.8	84.7611
109	21989.7	85.4867
110	21555.2	85.8834
111	23351.7	89.4146
112	22001.6	87.9437
113	23277.5	91.2281
114	24331.8	92.0943
115	24564.5	94.1273
116	23243.2	90.8059
117	21677.6	88.4765
118	21464	88.9937
119	21348.4	89.1219
120	20130.6	87.1776
121	17965	84.7089
122	17613.2	85.7187
123	18690.1	88.5476
124	18382.8	88.5111
125	16756.4	85.1323
126	17564.3	86.5991
127	18102.7	88.5673
128	17662.6	88.1361
129	17321.2	88.1592
130	16934.9	86.4174
131	16999.3	86.3768
132	16551	85.425
133	18044.7	88.9707
134	17925.3	89.0176
135	17866	88.7226
136	18058.5	87.7788
137	18682.5	87.4608
138	18750.4	87.6269
139	19791.2	88.569
140	20083	89.3755
141	22151.3	93.2788
142	22304.1	93.813
143	21174.5	92.5452
144	20320.4	90.5234
145	21390.8	92.5313
146	21559.8	92.1251
147	21732.6	93.031
148	22289	95.8104
149	23774.8	97.8629
150	24434.1	100.672
151	25091.1	101.058
152	25671.1	102.284
153	25343.5	101.788
154	24542.5	101.808
155	26287	105.362
156	27766.5	105.556
157	29997.2	107.21
158	33598.8	111.432
159	33289.7	109.851
160	32975.1	109.764
161	34931.4	111.128
162	36731.6	113.764
163	38334.6	113.683
164	41550.8	117.245
165	40563.4	116.995
166	39598.9	116.82
167	40794.5	118.16
168	44363.9	123.565
169	45867.8	122.798
170	45293.9	123.139
171	45083.4	124.469
172	44091.7	122.765
173	42402.2	120.695
174	45298.9	124.575
175	48875.7	125.994
176	48925.7	127.199
177	48936.2	126.839
178	53613.9	133.318
179	52071.2	135.321
180	53046	135.804
181	51984.7	134.624
182	49363.8	130.25
183	47426.2	131.629
184	48563.8	134.593
185	48336.1	137.175
186	51574.3	140.879
187	57545	148.914
188	59134.3	152.011
189	61449.8	154.626
190	61470.6	153.913
191	59306	153.772
192	66622.6	161.052
193	62991.7	158.231
194	58942.8	154.792
195	59294.1	152.62
196	59085.8	155.475
197	60821.2	161.778
198	61919.3	162.817
199	65753	168.686
200	68027.4	170.024
201	67825.6	168.356
202	65416.7	166.637
203	63919.9	164.809
204	67468.7	169.214
205	66000	169.111
206	63279.3	166.775
207	66918.1	169.671
208	69224.9	169.6
209	70301.3	169.901
210	72184.9	172.777
211	73555.9	175.231
212	75350	176.758
213	75856.2	176.781
214	73179.2	174.776
215	73949.2	175.744
216	72581.8	176.693
217	71260.8	177.302
218	71575.3	174.972
219	73772.9	178.576
220	77790.8	184.475
221	78438	184.248
222	80374	190.692
223	80078.2	190.115
224	81181.4	192.045
225	82729.8	193.456
226	80964	190.034
227	76398.6	189.276
228	76951	187.515
229	80568.9	191.464
230	76018.5	187.232
231	78759.4	190.821
232	85381.2	197.865
233	84958.8	196.973
234	87235.7	196.394
235	87192.6	194.9
236	88570.8	196.239
237	91320.1	198.635
238	88499.1	196.291
239	89974.7	197.289
240	89459.4	198.848
241	88878.4	200.148
