# time 	 position 	 vanHove 
1	-2.74477	0.200999
1	-2.69502	0
1	-2.64527	0
1	-2.59552	0
1	-2.54577	0
1	-2.49601	0
1	-2.44626	0
1	-2.39651	0
1	-2.34676	0
1	-2.29701	0
1	-2.24726	0.200999
1	-2.19751	0
1	-2.14775	0
1	-2.098	0
1	-2.04825	0.200999
1	-1.9985	0
1	-1.94875	0
1	-1.899	0.200999
1	-1.84925	0
1	-1.79949	0
1	-1.74974	0.200999
1	-1.69999	0
1	-1.65024	0.200999
1	-1.60049	0
1	-1.55074	0
1	-1.50099	0
1	-1.45123	0
1	-1.40148	0.200999
1	-1.35173	0
1	-1.30198	0
1	-1.25223	0
1	-1.20248	0.602998
1	-1.15273	0
1	-1.10298	0.200999
1	-1.05322	0.200999
1	-1.00347	0.200999
1	-0.953721	0
1	-0.90397	0.200999
1	-0.854218	0
1	-0.804467	0.200999
1	-0.754716	0.200999
1	-0.704964	0.200999
1	-0.655213	0.200999
1	-0.605461	0.200999
1	-0.55571	0.401999
1	-0.505959	0.602998
1	-0.456207	0.200999
1	-0.406456	0.803998
1	-0.356705	0.602998
1	-0.306953	0.401999
1	-0.257202	0
1	-0.20745	0.803998
1	-0.157699	0.200999
1	-0.107948	0.803998
1	-0.0581962	0.200999
1	-0.00844483	2.21099
1	0.0413066	0.200999
1	0.0910579	0
1	0.140809	0.803998
1	0.190561	0.602998
1	0.240312	0.401999
1	0.290063	0.401999
1	0.339815	0.200999
1	0.389566	0.401999
1	0.439318	0
1	0.489069	0.200999
1	0.53882	0.401999
1	0.588572	0.200999
1	0.638323	1.005
1	0.688075	0.401999
1	0.737826	0.200999
1	0.787577	0.200999
1	0.837329	0.401999
1	0.88708	0
1	0.936831	0.200999
1	0.986583	0.200999
1	1.03633	0.602998
1	1.08609	0.200999
1	1.13584	0.200999
1	1.18559	0
1	1.23534	0.200999
1	1.28509	0
1	1.33484	0.401999
1	1.38459	0.200999
1	1.43435	0.401999
1	1.4841	0
1	1.53385	0
1	1.5836	0.200999
1	1.63335	0
1	1.6831	0
1	1.73285	0
1	1.7826	0
1	1.83236	0
1	1.88211	0
1	1.93186	0
1	1.98161	0
1	2.03136	0
1	2.08111	0
1	2.13086	0
1	2.18062	0
11	-6.22369	0.0742002
11	-6.08892	0
11	-5.95415	0
11	-5.81938	0
11	-5.6846	0
11	-5.54983	0
11	-5.41506	0
11	-5.28029	0
11	-5.14552	0
11	-5.01075	0
11	-4.87598	0.0742002
11	-4.74121	0
11	-4.60644	0.0742002
11	-4.47167	0
11	-4.3369	0
11	-4.20213	0.0742002
11	-4.06736	0.1484
11	-3.93259	0.1484
11	-3.79782	0
11	-3.66305	0
11	-3.52828	0.0742002
11	-3.39351	0.1484
11	-3.25874	0
11	-3.12396	0.222601
11	-2.98919	0
11	-2.85442	0
11	-2.71965	0.0742002
11	-2.58488	0
11	-2.45011	0
11	-2.31534	0
11	-2.18057	0.0742002
11	-2.0458	0
11	-1.91103	0
11	-1.77626	0
11	-1.64149	0
11	-1.50672	0
11	-1.37195	0.0742002
11	-1.23718	0.222601
11	-1.10241	0.0742002
11	-0.967636	0.1484
11	-0.832866	0.296801
11	-0.698095	0.1484
11	-0.563325	0.0742002
11	-0.428554	0.296801
11	-0.293784	0.1484
11	-0.159013	0.222601
11	-0.0242427	1.0388
11	0.110528	0.1484
11	0.245298	0.1484
11	0.380069	0.222601
11	0.514839	0.1484
11	0.64961	0.0742002
11	0.78438	0.519401
11	0.919151	0.0742002
11	1.05392	0.222601
11	1.18869	0.1484
11	1.32346	0.0742002
11	1.45823	0
11	1.593	0.0742002
11	1.72777	0.1484
11	1.86254	0.0742002
11	1.99732	0
11	2.13209	0.0742002
11	2.26686	0
11	2.40163	0
11	2.5364	0
11	2.67117	0
11	2.80594	0
11	2.94071	0
11	3.07548	0.0742002
11	3.21025	0.1484
11	3.34502	0
11	3.47979	0
11	3.61456	0.0742002
11	3.74933	0
11	3.8841	0.0742002
11	4.01887	0
11	4.15364	0
11	4.28841	0.0742002
11	4.42318	0.0742002
11	4.55796	0.1484
11	4.69273	0.0742002
11	4.8275	0
11	4.96227	0.0742002
11	5.09704	0
11	5.23181	0.1484
11	5.36658	0
11	5.50135	0
11	5.63612	0
11	5.77089	0
11	5.90566	0.1484
11	6.04043	0.0742002
11	6.1752	0
11	6.30997	0
11	6.44474	0
11	6.57951	0
11	6.71428	0.0742002
11	6.84905	0
11	6.98382	0
11	7.1186	0
21	-13.9622	0.0401395
21	-13.7131	0
21	-13.464	0
21	-13.2148	0
21	-12.9657	0
21	-12.7166	0
21	-12.4675	0
21	-12.2183	0
21	-11.9692	0
21	-11.7201	0
21	-11.4709	0
21	-11.2218	0
21	-10.9727	0
21	-10.7235	0
21	-10.4744	0
21	-10.2253	0
21	-9.97614	0
21	-9.72701	0
21	-9.47788	0
21	-9.22875	0
21	-8.97962	0.0401395
21	-8.73049	0
21	-8.48136	0
21	-8.23223	0.0401395
21	-7.9831	0.0401395
21	-7.73396	0
21	-7.48483	0
21	-7.2357	0
21	-6.98657	0.0401395
21	-6.73744	0
21	-6.48831	0
21	-6.23918	0.0401395
21	-5.99005	0.080279
21	-5.74092	0
21	-5.49178	0
21	-5.24265	0.0401395
21	-4.99352	0
21	-4.74439	0.080279
21	-4.49526	0
21	-4.24613	0.0401395
21	-3.997	0.0401395
21	-3.74787	0.120419
21	-3.49874	0.0401395
21	-3.2496	0
21	-3.00047	0.080279
21	-2.75134	0.200698
21	-2.50221	0
21	-2.25308	0
21	-2.00395	0
21	-1.75482	0
21	-1.50569	0
21	-1.25656	0.0401395
21	-1.00743	0.120419
21	-0.758294	0.240837
21	-0.509163	0.120419
21	-0.260032	0.240837
21	-0.0109009	0.481674
21	0.23823	0.160558
21	0.487361	0.240837
21	0.736492	0.080279
21	0.985623	0.080279
21	1.23475	0
21	1.48389	0.0401395
21	1.73302	0.0401395
21	1.98215	0
21	2.23128	0.0401395
21	2.48041	0
21	2.72954	0.080279
21	2.97867	0.080279
21	3.2278	0.160558
21	3.47693	0.080279
21	3.72607	0.0401395
21	3.9752	0.0401395
21	4.22433	0.0401395
21	4.47346	0
21	4.72259	0.120419
21	4.97172	0
21	5.22085	0.080279
21	5.46998	0
21	5.71911	0.0401395
21	5.96824	0
21	6.21738	0
21	6.46651	0.0401395
21	6.71564	0
21	6.96477	0.0401395
21	7.2139	0
21	7.46303	0.0401395
21	7.71216	0
21	7.96129	0.0401395
21	8.21042	0
21	8.45956	0.080279
21	8.70869	0.0401395
21	8.95782	0
21	9.20695	0.0401395
21	9.45608	0
21	9.70521	0
21	9.95434	0
21	10.2035	0
21	10.4526	0
21	10.7017	0
31	-15.0698	0.0341396
31	-14.7769	0
31	-14.484	0
31	-14.1911	0
31	-13.8982	0
31	-13.6053	0
31	-13.3123	0
31	-13.0194	0
31	-12.7265	0
31	-12.4336	0
31	-12.1407	0
31	-11.8478	0
31	-11.5548	0
31	-11.2619	0.0341396
31	-10.969	0
31	-10.6761	0
31	-10.3832	0.0341396
31	-10.0903	0
31	-9.79736	0
31	-9.50445	0
31	-9.21153	0.0341396
31	-8.91862	0
31	-8.6257	0.0341396
31	-8.33279	0.0341396
31	-8.03987	0.0682793
31	-7.74696	0
31	-7.45404	0
31	-7.16113	0.0682793
31	-6.86822	0.0341396
31	-6.5753	0
31	-6.28239	0.0682793
31	-5.98947	0.0682793
31	-5.69656	0.0341396
31	-5.40364	0
31	-5.11073	0.0682793
31	-4.81781	0.0341396
31	-4.5249	0.0341396
31	-4.23198	0.0341396
31	-3.93907	0.0341396
31	-3.64615	0.0682793
31	-3.35324	0
31	-3.06032	0
31	-2.76741	0.0341396
31	-2.4745	0.0682793
31	-2.18158	0.0341396
31	-1.88867	0.0682793
31	-1.59575	0.102419
31	-1.30284	0.0341396
31	-1.00992	0
31	-0.717007	0.0682793
31	-0.424093	0.238977
31	-0.131178	0.443815
31	0.161737	0.204838
31	0.454651	0.102419
31	0.747566	0.0341396
31	1.04048	0.0341396
31	1.3334	0.0682793
31	1.62631	0.0341396
31	1.91922	0.102419
31	2.21214	0
31	2.50505	0
31	2.79797	0.102419
31	3.09088	0
31	3.3838	0.0341396
31	3.67671	0.0341396
31	3.96963	0.0341396
31	4.26254	0.0341396
31	4.55546	0.0341396
31	4.84837	0.0341396
31	5.14129	0.136559
31	5.4342	0.102419
31	5.72712	0.0341396
31	6.02003	0.0682793
31	6.31294	0
31	6.60586	0.0341396
31	6.89877	0
31	7.19169	0.0341396
31	7.4846	0
31	7.77752	0
31	8.07043	0
31	8.36335	0
31	8.65626	0.0682793
31	8.94918	0
31	9.24209	0
31	9.53501	0
31	9.82792	0.0341396
31	10.1208	0
31	10.4138	0
31	10.7067	0.0341396
31	10.9996	0
31	11.2925	0
31	11.5854	0
31	11.8783	0
31	12.1712	0
31	12.4642	0
31	12.7571	0
31	13.05	0
31	13.3429	0
31	13.6358	0.0341396
31	13.9287	0
41	-15.7445	0.0361391
41	-15.4678	0
41	-15.1911	0
41	-14.9144	0
41	-14.6377	0
41	-14.361	0
41	-14.0842	0
41	-13.8075	0
41	-13.5308	0
41	-13.2541	0.0361391
41	-12.9774	0.0722782
41	-12.7007	0
41	-12.424	0
41	-12.1473	0
41	-11.8706	0
41	-11.5939	0
41	-11.3172	0
41	-11.0404	0
41	-10.7637	0
41	-10.487	0
41	-10.2103	0
41	-9.93362	0.0361391
41	-9.65691	0
41	-9.3802	0.0361391
41	-9.10349	0
41	-8.82678	0
41	-8.55007	0
41	-8.27336	0
41	-7.99666	0.0361391
41	-7.71995	0
41	-7.44324	0.0361391
41	-7.16653	0
41	-6.88982	0.0361391
41	-6.61311	0.0361391
41	-6.3364	0.0361391
41	-6.0597	0.144556
41	-5.78299	0.0722782
41	-5.50628	0.0361391
41	-5.22957	0.0722782
41	-4.95286	0
41	-4.67615	0
41	-4.39944	0.0722782
41	-4.12274	0
41	-3.84603	0
41	-3.56932	0.144556
41	-3.29261	0.0722782
41	-3.0159	0.0361391
41	-2.73919	0.0361391
41	-2.46248	0.0722782
41	-2.18578	0.0722782
41	-1.90907	0.0361391
41	-1.63236	0
41	-1.35565	0
41	-1.07894	0
41	-0.802233	0.0361391
41	-0.525524	0.0722782
41	-0.248815	0.614365
41	0.0278931	0.289113
41	0.304602	0.0361391
41	0.58131	0.0361391
41	0.858019	0.0361391
41	1.13473	0
41	1.41144	0
41	1.68814	0.0361391
41	1.96485	0.0361391
41	2.24156	0.0722782
41	2.51827	0.144556
41	2.79498	0
41	3.07169	0.0361391
41	3.3484	0
41	3.6251	0
41	3.90181	0.144556
41	4.17852	0
41	4.45523	0
41	4.73194	0.0722782
41	5.00865	0.0361391
41	5.28536	0.144556
41	5.56206	0.0722782
41	5.83877	0
41	6.11548	0.0361391
41	6.39219	0
41	6.6689	0.0361391
41	6.94561	0.0361391
41	7.22232	0.108417
41	7.49902	0
41	7.77573	0
41	8.05244	0
41	8.32915	0
41	8.60586	0
41	8.88257	0.0361391
41	9.15928	0.0722782
41	9.43598	0
41	9.71269	0
41	9.9894	0
41	10.2661	0
41	10.5428	0
41	10.8195	0.0361391
41	11.0962	0.0361391
41	11.3729	0
41	11.6497	0.0361391
51	-15.097	0.0365506
51	-14.8234	0
51	-14.5498	0
51	-14.2762	0
51	-14.0026	0
51	-13.729	0
51	-13.4554	0
51	-13.1818	0
51	-12.9082	0
51	-12.6346	0.0731011
51	-12.361	0
51	-12.0874	0
51	-11.8138	0
51	-11.5402	0
51	-11.2667	0
51	-10.9931	0.0365506
51	-10.7195	0.0365506
51	-10.4459	0
51	-10.1723	0.0365506
51	-9.89868	0
51	-9.62509	0.0365506
51	-9.3515	0
51	-9.0779	0.0365506
51	-8.80431	0.0365506
51	-8.53072	0.0365506
51	-8.25712	0.0365506
51	-7.98353	0.0365506
51	-7.70994	0
51	-7.43634	0
51	-7.16275	0.0731011
51	-6.88915	0.0365506
51	-6.61556	0.0365506
51	-6.34197	0
51	-6.06837	0
51	-5.79478	0
51	-5.52119	0.0365506
51	-5.24759	0.109652
51	-4.974	0
51	-4.70041	0.0731011
51	-4.42681	0
51	-4.15322	0.0365506
51	-3.87962	0.0731011
51	-3.60603	0.0365506
51	-3.33244	0.109652
51	-3.05884	0
51	-2.78525	0.0365506
51	-2.51166	0
51	-2.23806	0
51	-1.96447	0.109652
51	-1.69088	0.0365506
51	-1.41728	0
51	-1.14369	0.0365506
51	-0.870095	0.109652
51	-0.596501	0.255854
51	-0.322908	0.0731011
51	-0.0493142	0.292404
51	0.224279	0.182753
51	0.497873	0.182753
51	0.771467	0.0365506
51	1.04506	0
51	1.31865	0
51	1.59225	0
51	1.86584	0.0365506
51	2.13943	0
51	2.41303	0.109652
51	2.68662	0.146202
51	2.96022	0.0365506
51	3.23381	0.0365506
51	3.5074	0
51	3.781	0.0731011
51	4.05459	0.0365506
51	4.32818	0.0365506
51	4.60178	0
51	4.87537	0.0731011
51	5.14896	0.0365506
51	5.42256	0.0731011
51	5.69615	0.0365506
51	5.96975	0.0365506
51	6.24334	0.0731011
51	6.51693	0
51	6.79053	0.0365506
51	7.06412	0.0365506
51	7.33771	0.0731011
51	7.61131	0
51	7.8849	0.0365506
51	8.15849	0.0365506
51	8.43209	0.0365506
51	8.70568	0.0365506
51	8.97928	0
51	9.25287	0
51	9.52646	0
51	9.80006	0
51	10.0736	0.0365506
51	10.3472	0
51	10.6208	0.0365506
51	10.8944	0
51	11.168	0
51	11.4416	0
51	11.7152	0
51	11.9888	0
61	-20.4448	0.0292792
61	-20.1033	0
61	-19.7618	0
61	-19.4202	0
61	-19.0787	0
61	-18.7371	0
61	-18.3956	0
61	-18.0541	0
61	-17.7125	0
61	-17.371	0
61	-17.0294	0
61	-16.6879	0
61	-16.3464	0
61	-16.0048	0
61	-15.6633	0
61	-15.3218	0.0292792
61	-14.9802	0
61	-14.6387	0
61	-14.2971	0.0292792
61	-13.9556	0
61	-13.6141	0.0585585
61	-13.2725	0.0292792
61	-12.931	0
61	-12.5894	0.0292792
61	-12.2479	0
61	-11.9064	0
61	-11.5648	0.0292792
61	-11.2233	0
61	-10.8817	0
61	-10.5402	0
61	-10.1987	0.0292792
61	-9.85713	0.0292792
61	-9.51559	0
61	-9.17405	0
61	-8.83251	0
61	-8.49097	0.0585585
61	-8.14944	0
61	-7.8079	0
61	-7.46636	0.0585585
61	-7.12482	0
61	-6.78328	0.0292792
61	-6.44174	0.0878377
61	-6.1002	0
61	-5.75866	0
61	-5.41713	0.0292792
61	-5.07559	0.0292792
61	-4.73405	0.0878377
61	-4.39251	0.0292792
61	-4.05097	0.0292792
61	-3.70943	0.0292792
61	-3.36789	0
61	-3.02635	0.0585585
61	-2.68481	0.0292792
61	-2.34328	0
61	-2.00174	0.0585585
61	-1.6602	0.0292792
61	-1.31866	0.146396
61	-0.977121	0.175675
61	-0.635582	0.234234
61	-0.294043	0.234234
61	0.0474959	0.0585585
61	0.389035	0.175675
61	0.730573	0.0878377
61	1.07211	0.0292792
61	1.41365	0.0292792
61	1.75519	0.0585585
61	2.09673	0.117117
61	2.43827	0
61	2.77981	0.0292792
61	3.12135	0.0878377
61	3.46288	0
61	3.80442	0
61	4.14596	0
61	4.4875	0.0585585
61	4.82904	0.0585585
61	5.17058	0.0292792
61	5.51212	0.0585585
61	5.85366	0
61	6.19519	0.0292792
61	6.53673	0
61	6.87827	0.0292792
61	7.21981	0.0585585
61	7.56135	0
61	7.90289	0.0585585
61	8.24443	0
61	8.58597	0
61	8.9275	0
61	9.26904	0
61	9.61058	0
61	9.95212	0.0292792
61	10.2937	0
61	10.6352	0
61	10.9767	0.0292792
61	11.3183	0
61	11.6598	0.0292792
61	12.0014	0
61	12.3429	0
61	12.6844	0.0292792
61	13.026	0
61	13.3675	0.0292792
71	-20.0321	0.0250364
71	-19.6327	0.0250364
71	-19.2332	0.0250364
71	-18.8338	0
71	-18.4344	0
71	-18.035	0
71	-17.6356	0.0250364
71	-17.2361	0
71	-16.8367	0
71	-16.4373	0.0250364
71	-16.0379	0.0500728
71	-15.6385	0.0250364
71	-15.2391	0
71	-14.8396	0
71	-14.4402	0
71	-14.0408	0
71	-13.6414	0
71	-13.242	0
71	-12.8425	0
71	-12.4431	0.0250364
71	-12.0437	0
71	-11.6443	0.0250364
71	-11.2449	0
71	-10.8455	0
71	-10.446	0.0250364
71	-10.0466	0
71	-9.6472	0.0500728
71	-9.24778	0.0500728
71	-8.84837	0
71	-8.44895	0.0250364
71	-8.04953	0.0250364
71	-7.65011	0.0250364
71	-7.25069	0.0500728
71	-6.85128	0.0500728
71	-6.45186	0
71	-6.05244	0.0250364
71	-5.65302	0.0250364
71	-5.2536	0.0250364
71	-4.85419	0.0500728
71	-4.45477	0
71	-4.05535	0.100146
71	-3.65593	0
71	-3.25651	0.0500728
71	-2.85709	0.0250364
71	-2.45768	0.0250364
71	-2.05826	0.100146
71	-1.65884	0.0500728
71	-1.25942	0
71	-0.860004	0.0250364
71	-0.460586	0.0250364
71	-0.061168	0.175255
71	0.33825	0.150219
71	0.737668	0.125182
71	1.13709	0.0500728
71	1.5365	0.125182
71	1.93592	0.0250364
71	2.33534	0.100146
71	2.73476	0.0751093
71	3.13418	0.0250364
71	3.53359	0.0250364
71	3.93301	0.0500728
71	4.33243	0.0751093
71	4.73185	0.0250364
71	5.13127	0.0500728
71	5.53069	0
71	5.9301	0.0500728
71	6.32952	0
71	6.72894	0
71	7.12836	0.0250364
71	7.52778	0
71	7.92719	0
71	8.32661	0.0751093
71	8.72603	0
71	9.12545	0.0500728
71	9.52487	0.0250364
71	9.92428	0
71	10.3237	0
71	10.7231	0
71	11.1225	0
71	11.522	0
71	11.9214	0
71	12.3208	0.0500728
71	12.7202	0
71	13.1196	0
71	13.519	0
71	13.9185	0
71	14.3179	0.0250364
71	14.7173	0
71	15.1167	0
71	15.5161	0
71	15.9156	0.0250364
71	16.315	0
71	16.7144	0
71	17.1138	0
71	17.5132	0
71	17.9126	0
71	18.3121	0
71	18.7115	0
71	19.1109	0
71	19.5103	0
81	-23.6768	0.0240541
81	-23.261	0.0240541
81	-22.8453	0
81	-22.4296	0
81	-22.0138	0
81	-21.5981	0
81	-21.1824	0.0240541
81	-20.7666	0
81	-20.3509	0.0240541
81	-19.9352	0
81	-19.5195	0
81	-19.1037	0.0240541
81	-18.688	0
81	-18.2723	0.0240541
81	-17.8565	0
81	-17.4408	0.0240541
81	-17.0251	0
81	-16.6093	0
81	-16.1936	0
81	-15.7779	0
81	-15.3621	0
81	-14.9464	0
81	-14.5307	0
81	-14.115	0.0240541
81	-13.6992	0.0240541
81	-13.2835	0.0481081
81	-12.8678	0
81	-12.452	0.0240541
81	-12.0363	0.0240541
81	-11.6206	0
81	-11.2048	0
81	-10.7891	0
81	-10.3734	0
81	-9.95766	0.0240541
81	-9.54193	0.0721622
81	-9.1262	0.0240541
81	-8.71047	0
81	-8.29474	0
81	-7.879	0
81	-7.46327	0.0721622
81	-7.04754	0.0240541
81	-6.63181	0.0240541
81	-6.21608	0.0240541
81	-5.80035	0.0481081
81	-5.38462	0.0240541
81	-4.96889	0.0240541
81	-4.55316	0
81	-4.13743	0
81	-3.7217	0.0240541
81	-3.30597	0.0721622
81	-2.89024	0.0721622
81	-2.47451	0
81	-2.05878	0.0481081
81	-1.64305	0.0481081
81	-1.22732	0.0962162
81	-0.81159	0.0481081
81	-0.39586	0.168378
81	0.0198702	0.0240541
81	0.435601	0.12027
81	0.851331	0.0481081
81	1.26706	0.0481081
81	1.68279	0.0240541
81	2.09852	0.0481081
81	2.51425	0.144324
81	2.92998	0.0721622
81	3.34571	0.0481081
81	3.76144	0.0240541
81	4.17717	0.0481081
81	4.5929	0.0481081
81	5.00863	0.0240541
81	5.42436	0.0481081
81	5.84009	0
81	6.25582	0.0240541
81	6.67155	0.0240541
81	7.08728	0.0481081
81	7.50302	0
81	7.91875	0.0240541
81	8.33448	0.0240541
81	8.75021	0.0240541
81	9.16594	0.0240541
81	9.58167	0
81	9.9974	0
81	10.4131	0
81	10.8289	0.0240541
81	11.2446	0
81	11.6603	0.0240541
81	12.076	0.0481081
